sample_id,query_id,gt_branch_count,exist_logit,exist_probability,actual_matched,geometry_reference_matched,endpoint_x_norm,endpoint_y_norm,direction_x,direction_y
0,0,3,-0.5233633518218994,0.37206611037254333,0,0,-0.030583463609218597,0.034906063228845596,-0.6590006947517395,0.7521423697471619
0,1,3,-0.5242915749549866,0.37184926867485046,1,1,-0.03643570840358734,0.03494925796985626,-0.7216744422912598,0.6922326683998108
0,2,3,-0.5253520011901855,0.3716016411781311,0,0,-0.033512987196445465,0.03327649086713791,-0.7096061706542969,0.7045985460281372
0,3,3,-0.531709611415863,0.37011826038360596,1,1,-0.03319709002971649,0.029995674267411232,-0.7419780492782593,0.670424222946167
0,4,3,-0.5515667796134949,0.36550095677375793,0,0,-0.03287097066640854,0.03242966905236244,-0.7118691205978394,0.7023121118545532
0,5,3,-0.5352350473403931,0.36929672956466675,1,1,-0.03230860084295273,0.0389384962618351,-0.6385483145713806,0.7695817947387695
1,0,3,-0.5431773662567139,0.36744874715805054,1,1,-0.03721458464860916,0.0383431538939476,-0.696467399597168,0.717588484287262
1,1,3,-0.5440113544464111,0.36725494265556335,0,0,-0.043116919696331024,0.03835484758019447,-0.7471623420715332,0.6646415591239929
1,2,3,-0.545184850692749,0.36698228120803833,0,0,-0.04019137844443321,0.03669892996549606,-0.7384630441665649,0.6742939949035645
1,3,3,-0.5518854856491089,0.36542707681655884,1,1,-0.03990675136446953,0.03339952230453491,-0.7668595910072327,0.6418148279190063
1,4,3,-0.5720091462135315,0.36077335476875305,0,0,-0.03957924619317055,0.03581506758928299,-0.741486668586731,0.6709676384925842
1,5,3,-0.5555095672607422,0.36458709836006165,1,1,-0.038976822048425674,0.04241170361638069,-0.676662027835846,0.7362937331199646
2,0,1,-2.2929344177246094,0.09170982241630554,1,0,-0.029887590557336807,-0.2520100772380829,-0.1177714616060257,-0.9930408000946045
2,1,1,-2.2980270385742188,0.09128649532794952,0,0,-0.030785104259848595,-0.251822292804718,-0.12134593725204468,-0.9926102757453918
2,2,1,-2.2925186157226562,0.09174446016550064,0,0,-0.030253196135163307,-0.253894180059433,-0.11831969767808914,-0.9929754734039307
2,3,1,-2.3003716468811035,0.09109218418598175,0,0,-0.03159414231777191,-0.25287145376205444,-0.12397757917642593,-0.9922849535942078
2,4,1,-2.353729724884033,0.08676977455615997,0,0,-0.031905338168144226,-0.25026819109916687,-0.12646108865737915,-0.9919716119766235
2,5,1,-2.324827194213867,0.08908754587173462,0,1,-0.02981603518128395,-0.25104841589927673,-0.11793720722198486,-0.9930209517478943
3,0,3,-0.547866702079773,0.36635950207710266,1,1,-0.03334324434399605,0.03778765723109245,-0.6616349816322327,0.7498260736465454
3,1,3,-0.5487896203994751,0.3661452829837799,0,0,-0.03923628479242325,0.03782065957784653,-0.7199757099151611,0.6939993500709534
3,2,3,-0.5498522520065308,0.3658986985683441,0,0,-0.036309123039245605,0.03615282103419304,-0.708630383014679,0.7055798768997192
3,3,3,-0.556513786315918,0.3643544614315033,1,1,-0.03600625693798065,0.0328664593398571,-0.7385755777359009,0.674170732498169
3,4,3,-0.5764507055282593,0.3597496747970581,0,0,-0.035685744136571884,0.03528247028589249,-0.7111133933067322,0.7030773162841797
3,5,3,-0.5600035190582275,0.3635466694831848,1,1,-0.03509759157896042,0.04183810204267502,-0.6426936388015747,0.7661232948303223
4,0,1,-2.4387450218200684,0.08026549965143204,0,0,0.20381008088588715,-0.0017284826608374715,0.9999640583992004,-0.008480544202029705
4,1,1,-2.4401931762695312,0.08015866577625275,1,0,0.2022669017314911,-0.0017293059499934316,0.9999634623527527,-0.008549311198294163
4,2,1,-2.4340004920959473,0.08061646670103073,0,0,0.20340563356876373,-0.0027777592185884714,0.9999067783355713,-0.01365498173981905
4,3,1,-2.4442033767700195,0.07986347377300262,0,0,0.20152033865451813,-0.003022346645593643,0.9998875260353088,-0.014996038749814034
4,4,1,-2.4977407455444336,0.07601671665906906,0,1,0.20184226334095,-0.001428748480975628,0.9999749660491943,-0.007078362628817558
4,5,1,-2.4664864540100098,0.0782412514090538,0,0,0.20408941805362701,-0.0013826461508870125,0.9999770522117615,-0.006774552166461945
5,0,5,-0.4993214011192322,0.3777001202106476,1,1,-0.03244374319911003,0.039332352578639984,-0.6363193392753601,0.771425724029541
5,1,5,-0.5003679990768433,0.37745416164398193,1,1,-0.03829687088727951,0.03937006741762161,-0.6972694396972656,0.716809093952179
5,2,5,-0.5013231039047241,0.377229779958725,1,0,-0.03537794575095177,0.03771461918950081,-0.6841520071029663,0.7293394804000854
5,3,5,-0.5076074600219727,0.37575456500053406,1,1,-0.03508501127362251,0.03445461392402649,-0.7134875655174255,0.7006678581237793
5,4,5,-0.5275135040283203,0.37109702825546265,0,1,-0.03474537283182144,0.03689580038189888,-0.6855730414390564,0.7280038595199585
5,5,5,-0.5113762617111206,0.3748709559440613,1,1,-0.03420687094330788,0.043362244963645935,-0.6193488836288452,0.7851158976554871
6,0,1,-2.0971627235412598,0.10937289893627167,1,0,0.04943666234612465,-0.2372468113899231,0.2039947658777237,-0.9789719581604004
6,1,1,-2.101928234100342,0.10890954732894897,0,0,0.04816540330648422,-0.23717501759529114,0.19901718199253082,-0.9799959659576416
6,2,1,-2.097076416015625,0.109381303191185,0,0,0.04899490252137184,-0.23917198181152344,0.20068465173244476,-0.979655921459198
